DATASET_used,LR Accuracy,LDA Accuracy,KNN Accuracy,DTC Accuracy,ND Accuracy,SVM Accuracy,RF Accuracy,XG Accuracy
SISFALL,0.7082242012000001,0.7380827658,0.992142483,0.9785227868,0.760607648,0.9559979047,0.9832372970000001,0.9874279728
MOBIACT,0.7993713986,0.7962283918,0.9973808276999999,0.9905709796,0.9209009953,0.8349921425,0.9979046621,0.9979046621
UCIHAR,0.7959183673000001,0.7972789116,0.9156462584999999,0.8979591837,0.6639455782,0.8013605442,0.9346938776,0.9414965986
