ALGORITHM USED,SISFALL,MOBIACT,UCIHAR
LogRegression Accuracy,0.7082242012000001,0.7993713986,0.7959183673000001
LDAnalysis Accuracy,0.7380827658,0.7962283918,0.7972789116
KNNeighbour Accuracy,0.992142483,0.9973808276999999,0.9156462584999999
DTClassifier Accuracy,0.9785227868,0.9905709796,0.8979591837
GNBayes Accuracy,0.760607648,0.9209009953,0.6639455782
SVMachine Accuracy,0.9559979047,0.8349921425,0.8013605442
RandomForest Accuracy,0.9832372970000001,0.9979046621,0.9346938776
XGBoost Accuracy,0.9874279728,0.9979046621,0.9414965986
